Date,Ticker,Open,High,Low,Close,Volume,News_Count,Avg_Sentiment_Score,News_Titles
2026-02-15,GOLDBEES.NS,,,,,,10,-0.0373,"Gold price today: How much 18K, 22K and 24K gold costs in your city? Check rates for Bengaluru, Delhi & m - The Times of India. Gold price today: How much 18K, 22K and 24K gold costs in your city? Check rates for Bengaluru, Delhi & m  The Times of India | Gold Price Today [16 Feb 2026]: MCX Gold Steady at ₹1.57 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [16 Feb 2026]: MCX Gold Steady at ₹1.57 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold rate in India may crash below ₹1 lakh, COMEX gold price to touch $3,000/oz after this reported Russian move - Mint. Gold rate in India may crash below ₹1 lakh, COMEX gold price to touch $3,000/oz after this reported Russian move  Mint | As silver price fall continues, gold rates recover slightly, here’s what existing, new investors can do - The Economic Times. As silver price fall continues, gold rates recover slightly, here’s what existing, new investors can do  The Economic Times | Gold Rate Today 16th February 2026: Gold is down by 0.49%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 16th February 2026: Gold is down by 0.49%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | How Much Will 24-Carat Gold Cost You Today In India? Check Rates In Your City - NDTV. How Much Will 24-Carat Gold Cost You Today In India? Check Rates In Your City  NDTV | Gold Prices In Red Today (Feb 16), Check 22K & 24K Rates Per Gram In Major Cities - ABP Live English. Gold Prices In Red Today (Feb 16), Check 22K & 24K Rates Per Gram In Major Cities  ABP Live English | Gold may slide as Russia eyes return to dollar trade: Report - News Arena India. Gold may slide as Russia eyes return to dollar trade: Report  News Arena India | Gold price in India: Rates on February 16 - FXStreet. Gold price in India: Rates on February 16  FXStreet | Gold price prediction today: Is gold set to exhibit a bullish bias in the near term? Top factors to watch - The Times of India. Gold price prediction today: Is gold set to exhibit a bullish bias in the near term? Top factors to watch  The Times of India"
2026-02-16,GOLDBEES.NS,127.08,127.08,125.82,126.92,47510656.0,10,-0.061,"India gold market update: Price strength fuels demand - World Gold Council. India gold market update: Price strength fuels demand  World Gold Council | Gold price today: How much 18K, 22K and 24K gold costs in your city? Check rates for Bengaluru, Delhi & m - The Times of India. Gold price today: How much 18K, 22K and 24K gold costs in your city? Check rates for Bengaluru, Delhi & m  The Times of India | Gold Price Today [16 Feb 2026]: MCX Gold Steady at ₹1.57 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [16 Feb 2026]: MCX Gold Steady at ₹1.57 Lakh/10g | City-Wise Rates  The Sunday Guardian | Will Gold Prices Drop To Rs 1 Lakh Soon? Here’s What Market Experts Are Saying - News18. Will Gold Prices Drop To Rs 1 Lakh Soon? Here’s What Market Experts Are Saying  News18 | As silver price fall continues, gold rates recover slightly, here’s what existing, new investors can do - The Economic Times. As silver price fall continues, gold rates recover slightly, here’s what existing, new investors can do  The Economic Times | Gold Rate Today 17th February 2026: Gold is down by 1.23%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 17th February 2026: Gold is down by 1.23%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | Gold Prices Take A Beating (Feb 17), Check 22K & 24K Rates Per Gram In Major Cities - ABP Live English. Gold Prices Take A Beating (Feb 17), Check 22K & 24K Rates Per Gram In Major Cities  ABP Live English | How Much Will 24-Carat Gold Cost You Today In India? Check Rates In Your City - NDTV. How Much Will 24-Carat Gold Cost You Today In India? Check Rates In Your City  NDTV | Gold price today: Yellow metal slips; check 24K, 22K city-wise rates in Delhi, Mumbai, Kolkata and more - The Times of India. Gold price today: Yellow metal slips; check 24K, 22K city-wise rates in Delhi, Mumbai, Kolkata and more  The Times of India | Gold Price Today [17 Feb 2026]: MCX Gold Drops to ₹1.56 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [17 Feb 2026]: MCX Gold Drops to ₹1.56 Lakh/10g | City-Wise Rates  The Sunday Guardian"
2026-02-17,GOLDBEES.NS,126.0,126.19,123.39,124.58,56084677.0,10,0.0108,"India gold market update: Price strength fuels demand - World Gold Council. India gold market update: Price strength fuels demand  World Gold Council | Gold price today: Yellow metal slips; check 24K, 22K city-wise rates in Delhi, Mumbai, Kolkata and more - The Times of India. Gold price today: Yellow metal slips; check 24K, 22K city-wise rates in Delhi, Mumbai, Kolkata and more  The Times of India | Gold Today Rate, February 18: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Today Rate, February 18: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold Price Today [17 Feb 2026]: MCX Gold Drops to ₹1.56 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [17 Feb 2026]: MCX Gold Drops to ₹1.56 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold Rate Today 18th February 2026: Gold is up by 0.65%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 18th February 2026: Gold is up by 0.65%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | Will Gold Prices Drop To Rs 1 Lakh Soon? Here’s What Market Experts Are Saying - News18. Will Gold Prices Drop To Rs 1 Lakh Soon? Here’s What Market Experts Are Saying  News18 | Gold, silver prices today, February 18, 2026: Check city-wise rates in Delhi, Mumbai, Chennai, Kolkata and more - DNA India. Gold, silver prices today, February 18, 2026: Check city-wise rates in Delhi, Mumbai, Chennai, Kolkata and more  DNA India | Gold price prediction today: Will gold and silver rates continue to go down? - The Times of India. Gold price prediction today: Will gold and silver rates continue to go down?  The Times of India | Gold Today Rate, February 17: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Today Rate, February 17: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold Price Today [18 February, 2026]: MCX Gold Drops Sharply to ₹1.54 Lakh/10g; Check City-Wise Rates 24K, 22K, 18K in Delhi, Mumbai, Chennai, Kolkata, Hyderabad & More - The Sunday Guardian. Gold Price Today [18 February, 2026]: MCX Gold Drops Sharply to ₹1.54 Lakh/10g; Check City-Wise Rates 24K, 22K, 18K in Delhi, Mumbai, Chennai, Kolkata, Hyderabad & More  The Sunday Guardian"
2026-02-18,GOLDBEES.NS,124.21,125.38,124.21,124.64,38119799.0,10,0.1877,"Gold Today Rate, February 18: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Today Rate, February 18: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold Price Today [19 Feb 2026]: MCX Gold Steady at ₹1.54 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [19 Feb 2026]: MCX Gold Steady at ₹1.54 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold price prediction today: When will gold rates resume upward bullish trend? - The Times of India. Gold price prediction today: When will gold rates resume upward bullish trend?  The Times of India | Gold Rate Today 18th February 2026: Gold is up by 0.65%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 18th February 2026: Gold is up by 0.65%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | Gold, silver prices drop sharply. Are they still a safe bet for investors? - India Today. Gold, silver prices drop sharply. Are they still a safe bet for investors?  India Today | Worried about gold, silver swings? Smart 10-year strategy to protect and grow your precious metals portfol - The Economic Times. Worried about gold, silver swings? Smart 10-year strategy to protect and grow your precious metals portfol  The Economic Times | Gold, Silver Prices Rise On February 18: Check Latest Rates In Your City - NDTV. Gold, Silver Prices Rise On February 18: Check Latest Rates In Your City  NDTV | Gold rate increased by Rs 2,290 for 24 carats in India, Silver prices jump to new high - KalingaTV. Gold rate increased by Rs 2,290 for 24 carats in India, Silver prices jump to new high  KalingaTV | Gold Today Rate, February 17: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Today Rate, February 17: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold Price Today [18 February, 2026]: MCX Gold Drops Sharply to ₹1.54 Lakh/10g; Check City-Wise Rates 24K, 22K, 18K in Delhi, Mumbai, Chennai, Kolkata, Hyderabad & More - The Sunday Guardian. Gold Price Today [18 February, 2026]: MCX Gold Drops Sharply to ₹1.54 Lakh/10g; Check City-Wise Rates 24K, 22K, 18K in Delhi, Mumbai, Chennai, Kolkata, Hyderabad & More  The Sunday Guardian"
2026-02-19,GOLDBEES.NS,126.11,128.0,126.11,127.09,66724126.0,10,0.1384,"Gold price prediction: What's the gold rate outlook for February 20, 2026? What investors should know - The Times of India. Gold price prediction: What's the gold rate outlook for February 20, 2026? What investors should know  The Times of India | Gold Today Rate, February 20: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Today Rate, February 20: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold, silver prices in India today (20 February 2026): Check latest city-wise rates - Mathrubhumi English. Gold, silver prices in India today (20 February 2026): Check latest city-wise rates  Mathrubhumi English | Gold Price Today [19 Feb 2026]: MCX Gold Steady at ₹1.54 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [19 Feb 2026]: MCX Gold Steady at ₹1.54 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold Rate Today 19th February 2026: Gold is up by 0.17%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 19th February 2026: Gold is up by 0.17%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | Gold, silver prices drop sharply. Are they still a safe bet for investors? - India Today. Gold, silver prices drop sharply. Are they still a safe bet for investors?  India Today | Worried about gold, silver swings? Smart 10-year strategy to protect and grow your precious metals portfol - The Economic Times. Worried about gold, silver swings? Smart 10-year strategy to protect and grow your precious metals portfol  The Economic Times | Gold Price decreased by Rs 320 for 24 carats in India, check updated rates here - KalingaTV. Gold Price decreased by Rs 320 for 24 carats in India, check updated rates here  KalingaTV | Gold price in India: Rates on February 20 - FXStreet. Gold price in India: Rates on February 20  FXStreet | Gold Silver Rate Today, February 20, 2026: City-Wise MCX Trends With Nationwide Price Alignment - Oneindia. Gold Silver Rate Today, February 20, 2026: City-Wise MCX Trends With Nationwide Price Alignment  Oneindia"
2026-02-20,GOLDBEES.NS,126.88,127.7,123.91,127.54,38275525.0,10,0.156,"Gold Rate Today, February 21: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Rate Today, February 21: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold Price Today [21 Feb 2026]: MCX Gold Rallies to ₹1.57 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [21 Feb 2026]: MCX Gold Rallies to ₹1.57 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold price today surged 2.65% on Comex, is now the time to invest? - Moneycontrol.com. Gold price today surged 2.65% on Comex, is now the time to invest?  Moneycontrol.com | Gold price today: How much 22K, 24K gold costs in Delhi, Mumbai & other cities – check rates - The Times of India. Gold price today: How much 22K, 24K gold costs in Delhi, Mumbai & other cities – check rates  The Times of India | Gold Rate Today 20th February 2026: Gold is up by 1.04%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 20th February 2026: Gold is up by 1.04%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | Gold Silver Rate Today, February 21, 2026: City-Wise Prices With MCX Trends As Gold Gains Third Session - Oneindia. Gold Silver Rate Today, February 21, 2026: City-Wise Prices With MCX Trends As Gold Gains Third Session  Oneindia | Gold Rates & Silver Rates increased today in India, Check city-wise rates here - KalingaTV. Gold Rates & Silver Rates increased today in India, Check city-wise rates here  KalingaTV | What does the US Supreme Court decision on Trump's tariffs mean for the Indian stock market, gold, and silver rates? - Mint. What does the US Supreme Court decision on Trump's tariffs mean for the Indian stock market, gold, and silver rates?  Mint | Gold prices slip after U.S. Supreme Court blocks Trump tariffs, weak economy keeps safe-haven demand stron - The Economic Times. Gold prices slip after U.S. Supreme Court blocks Trump tariffs, weak economy keeps safe-haven demand stron  The Economic Times | Gold price climbs ₹10 to ₹1,57,380; silver falls ₹100, trades at ₹2,69,900 - Business Standard. Gold price climbs ₹10 to ₹1,57,380; silver falls ₹100, trades at ₹2,69,900  Business Standard"
2026-02-21,GOLDBEES.NS,,,,,,10,0.059,"Gold Price Today [22 Feb 2026]: MCX Gold Surges to ₹1.59 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [22 Feb 2026]: MCX Gold Surges to ₹1.59 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold Rate Today (Feb 22, 2026): Updated IBJA With 22K Gold Prices At Joyalukkas, Tanishq, Malabar And Kalyan - Oneindia. Gold Rate Today (Feb 22, 2026): Updated IBJA With 22K Gold Prices At Joyalukkas, Tanishq, Malabar And Kalyan  Oneindia | Gold and silver price today (22.02.2026): Stable silver, gold rally continues - Mathrubhumi English. Gold and silver price today (22.02.2026): Stable silver, gold rally continues  Mathrubhumi English | Today Gold, Silver Rate February 22: Check 18, 22, 24 carat Gold prices in Chennai, Mumbai, Delhi, Kolkata - India.Com. Today Gold, Silver Rate February 22: Check 18, 22, 24 carat Gold prices in Chennai, Mumbai, Delhi, Kolkata  India.Com | Eye-popping rise in one year: Betting on just gold and silver for long-term wealth creation? Think again! - The Times of India. Eye-popping rise in one year: Betting on just gold and silver for long-term wealth creation? Think again!  The Times of India | Can the US-Iran war buzz fuel gold price to a new peak after the US Supreme Court decision on Trump's tariffs? - Mint. Can the US-Iran war buzz fuel gold price to a new peak after the US Supreme Court decision on Trump's tariffs?  Mint | Gold, silver prices today, February 22, 2026: Check city-wise rates in Delhi, Mumbai, Chennai, Kolkata and more - DNA India. Gold, silver prices today, February 22, 2026: Check city-wise rates in Delhi, Mumbai, Chennai, Kolkata and more  DNA India | Gold & Silver in India Today, February 22: MCX Rally Signs, Breakout Watch - Meyka. Gold & Silver in India Today, February 22: MCX Rally Signs, Breakout Watch  Meyka | Gold And Silver Prices Surge For Third Day In India Amid Global Uncertainty - English Bombay Samachar. Gold And Silver Prices Surge For Third Day In India Amid Global Uncertainty  English Bombay Samachar | Gold rates in Delhi today, check the rates on 22 Feb, 2026 - The Hans India. Gold rates in Delhi today, check the rates on 22 Feb, 2026  The Hans India"
2026-02-22,GOLDBEES.NS,,,,,,10,0.0419,"Gold price prediction today: Where are gold prices headed this week & what are the key levels? - The Times of India. Gold price prediction today: Where are gold prices headed this week & what are the key levels?  The Times of India | Gold Price Today [23 Feb 2026]: MCX Gold Holds Near ₹1.59 Lakh/10g After Rally | City-Wise Rates - The Sunday Guardian. Gold Price Today [23 Feb 2026]: MCX Gold Holds Near ₹1.59 Lakh/10g After Rally | City-Wise Rates  The Sunday Guardian | ‘Gold price spikes because...’: FM Sitharaman explains yellow metal's rally - Moneycontrol.com. ‘Gold price spikes because...’: FM Sitharaman explains yellow metal's rally  Moneycontrol.com | Gold, Silver Prices On February 23: Silver Rises By Rs 23,820, Gold Crosses Rs 1,59,000 On MCX - NDTV. Gold, Silver Prices On February 23: Silver Rises By Rs 23,820, Gold Crosses Rs 1,59,000 On MCX  NDTV | Gold price in India: Rates on February 23 - FXStreet. Gold price in India: Rates on February 23  FXStreet | Gold price, silver rate predictions: What to expect in February last week? Analysts make bold opinions - The Economic Times. Gold price, silver rate predictions: What to expect in February last week? Analysts make bold opinions  The Economic Times | 22 carat and 24 carat gold price increased today, check updated rates in your city - KalingaTV. 22 carat and 24 carat gold price increased today, check updated rates in your city  KalingaTV | Gold rate jumps 2%, silver surges 6% on MCX amid escalating US-Iran tensions, dollar's sharp fall - Mint. Gold rate jumps 2%, silver surges 6% on MCX amid escalating US-Iran tensions, dollar's sharp fall  Mint | Gold Rates Today, 23 February: MCX Gold Hits Record High Amid Global Uncertainty; Check Latest City-Wise Prices And Global Trends - NewsX. Gold Rates Today, 23 February: MCX Gold Hits Record High Amid Global Uncertainty; Check Latest City-Wise Prices And Global Trends  NewsX | In India, compiled data shows gold prices increased, reflecting an upward move during Monday’s trading session - VT Markets. In India, compiled data shows gold prices increased, reflecting an upward move during Monday’s trading session  VT Markets"
