Date,Ticker,Open,High,Low,Close,Volume,News_Count,Avg_Sentiment_Score,News_Titles
2026-02-20,GOLDBEES.NS,126.88,127.7,123.91,127.54,38275525.0,10,0.156,"Gold Rate Today, February 21: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities - The Indian Express. Gold Rate Today, February 21: Check 18, 22 and 24 carat gold prices Chennai, Mumbai, Delhi, Kolkata and other cities  The Indian Express | Gold Price Today [21 Feb 2026]: MCX Gold Rallies to ₹1.57 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [21 Feb 2026]: MCX Gold Rallies to ₹1.57 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold price today surged 2.65% on Comex, is now the time to invest? - Moneycontrol.com. Gold price today surged 2.65% on Comex, is now the time to invest?  Moneycontrol.com | Gold price today: How much 22K, 24K gold costs in Delhi, Mumbai & other cities – check rates - The Times of India. Gold price today: How much 22K, 24K gold costs in Delhi, Mumbai & other cities – check rates  The Times of India | Gold Rate Today 20th February 2026: Gold is up by 1.04%; check prices in Mumbai, Chennai, Delhi, Bengaluru - The Financial Express. Gold Rate Today 20th February 2026: Gold is up by 1.04%; check prices in Mumbai, Chennai, Delhi, Bengaluru  The Financial Express | Gold Silver Rate Today, February 21, 2026: City-Wise Prices With MCX Trends As Gold Gains Third Session - Oneindia. Gold Silver Rate Today, February 21, 2026: City-Wise Prices With MCX Trends As Gold Gains Third Session  Oneindia | Gold Rates & Silver Rates increased today in India, Check city-wise rates here - KalingaTV. Gold Rates & Silver Rates increased today in India, Check city-wise rates here  KalingaTV | What does the US Supreme Court decision on Trump's tariffs mean for the Indian stock market, gold, and silver rates? - Mint. What does the US Supreme Court decision on Trump's tariffs mean for the Indian stock market, gold, and silver rates?  Mint | Gold prices slip after U.S. Supreme Court blocks Trump tariffs, weak economy keeps safe-haven demand stron - The Economic Times. Gold prices slip after U.S. Supreme Court blocks Trump tariffs, weak economy keeps safe-haven demand stron  The Economic Times | Gold price climbs ₹10 to ₹1,57,380; silver falls ₹100, trades at ₹2,69,900 - Business Standard. Gold price climbs ₹10 to ₹1,57,380; silver falls ₹100, trades at ₹2,69,900  Business Standard"
2026-02-20,RELIANCE.NS,1409.5,1427.4,1406.1,1419.4,8177670.0,10,0.1358,"Reliance Industries Limited | Business, Leadership, & History - Britannica. Reliance Industries Limited | Business, Leadership, & History  Britannica | Reliance Industries Limited - facebook.com. Reliance Industries Limited  facebook.com | RELIANCE Outlook for the Week - Equitypandit. RELIANCE Outlook for the Week  Equitypandit | Reliance Industries, L&T, E2E Networks, Infosys, Delhivery among top firms that partnered with NVIDIA - Upstox. Reliance Industries, L&T, E2E Networks, Infosys, Delhivery among top firms that partnered with NVIDIA  Upstox | Morgan Stanley Bullish On Reliance Industries After Rs 10 Lakh Crore AI Capex Plan - Samco. Morgan Stanley Bullish On Reliance Industries After Rs 10 Lakh Crore AI Capex Plan  Samco | Morgan Stanley Bullish On Reliance Industries; Sees 28% Upside, Flags AI Capex As Next Big Trigger - News18. Morgan Stanley Bullish On Reliance Industries; Sees 28% Upside, Flags AI Capex As Next Big Trigger  News18 | Artson hits the roof after securing Rs 13-cr order from Reliance Industries - Business Standard. Artson hits the roof after securing Rs 13-cr order from Reliance Industries  Business Standard | Reliance & Capri Global Join Hands to Acquire Mumbai’s SevenHills Hospital - Digital Health News. Reliance & Capri Global Join Hands to Acquire Mumbai’s SevenHills Hospital  Digital Health News | India Cannot Afford to Rent Intelligence: Mukesh Ambani - Entrepreneur India. India Cannot Afford to Rent Intelligence: Mukesh Ambani  Entrepreneur India | Tata Group stock hits 5% upper circuit after receiving an order from Reliance Industries - Trade Brains. Tata Group stock hits 5% upper circuit after receiving an order from Reliance Industries  Trade Brains"
2026-02-21,GOLDBEES.NS,,,,,,10,0.059,"Gold Price Today [22 Feb 2026]: MCX Gold Surges to ₹1.59 Lakh/10g | City-Wise Rates - The Sunday Guardian. Gold Price Today [22 Feb 2026]: MCX Gold Surges to ₹1.59 Lakh/10g | City-Wise Rates  The Sunday Guardian | Gold Rate Today (Feb 22, 2026): Updated IBJA With 22K Gold Prices At Joyalukkas, Tanishq, Malabar And Kalyan - Oneindia. Gold Rate Today (Feb 22, 2026): Updated IBJA With 22K Gold Prices At Joyalukkas, Tanishq, Malabar And Kalyan  Oneindia | Gold and silver price today (22.02.2026): Stable silver, gold rally continues - Mathrubhumi English. Gold and silver price today (22.02.2026): Stable silver, gold rally continues  Mathrubhumi English | Today Gold, Silver Rate February 22: Check 18, 22, 24 carat Gold prices in Chennai, Mumbai, Delhi, Kolkata - India.Com. Today Gold, Silver Rate February 22: Check 18, 22, 24 carat Gold prices in Chennai, Mumbai, Delhi, Kolkata  India.Com | Eye-popping rise in one year: Betting on just gold and silver for long-term wealth creation? Think again! - The Times of India. Eye-popping rise in one year: Betting on just gold and silver for long-term wealth creation? Think again!  The Times of India | Can the US-Iran war buzz fuel gold price to a new peak after the US Supreme Court decision on Trump's tariffs? - Mint. Can the US-Iran war buzz fuel gold price to a new peak after the US Supreme Court decision on Trump's tariffs?  Mint | Gold, silver prices today, February 22, 2026: Check city-wise rates in Delhi, Mumbai, Chennai, Kolkata and more - DNA India. Gold, silver prices today, February 22, 2026: Check city-wise rates in Delhi, Mumbai, Chennai, Kolkata and more  DNA India | Gold & Silver in India Today, February 22: MCX Rally Signs, Breakout Watch - Meyka. Gold & Silver in India Today, February 22: MCX Rally Signs, Breakout Watch  Meyka | Gold And Silver Prices Surge For Third Day In India Amid Global Uncertainty - English Bombay Samachar. Gold And Silver Prices Surge For Third Day In India Amid Global Uncertainty  English Bombay Samachar | Gold rates in Delhi today, check the rates on 22 Feb, 2026 - The Hans India. Gold rates in Delhi today, check the rates on 22 Feb, 2026  The Hans India"
2026-02-21,RELIANCE.NS,,,,,,10,0.2677,"Reliance Industries Limited | Business, Leadership, & History - Britannica. Reliance Industries Limited | Business, Leadership, & History  Britannica | Abhijeet Shinde Joins Reliance Industries as Senior General Counsel - BW Legal World. Abhijeet Shinde Joins Reliance Industries as Senior General Counsel  BW Legal World | How Reliance Industries’ Foray into Data Centres and AI Can Drive Exponential Revenue Growth - Trade Brains. How Reliance Industries’ Foray into Data Centres and AI Can Drive Exponential Revenue Growth  Trade Brains | Reliance's Jio Studios Withdraws Anti-Piracy Lawsuit for Film Dhurandhar at Madras High Court - The CSR Journal. Reliance's Jio Studios Withdraws Anti-Piracy Lawsuit for Film Dhurandhar at Madras High Court  The CSR Journal | Reliance & Capri Global Join Hands to Acquire Mumbai’s SevenHills Hospital - Digital Health News. Reliance & Capri Global Join Hands to Acquire Mumbai’s SevenHills Hospital  Digital Health News | Who was Dhirubhai Ambani’s lesser-known sister? Her son was Mukesh Ambani’s first boss, grandchildren are key figures at Reliance, they work as… - news24online.com. Who was Dhirubhai Ambani’s lesser-known sister? Her son was Mukesh Ambani’s first boss, grandchildren are key figures at Reliance, they work as…  news24online.com | Mcap of six of top 10 valued firms climbs ₹63,000 cr; L&T, SBI biggest gainers - BusinessLine. Mcap of six of top 10 valued firms climbs ₹63,000 cr; L&T, SBI biggest gainers  BusinessLine | OpenAI and Reliance Partner to Bring Conversational AI Search to JioHotstar Streaming Platform - AI Insider. OpenAI and Reliance Partner to Bring Conversational AI Search to JioHotstar Streaming Platform  AI Insider | Buy or sell: Ganesh Dongre of Anand Rathi recommends three stocks to buy on Monday - 23 February 2026 - Mint. Buy or sell: Ganesh Dongre of Anand Rathi recommends three stocks to buy on Monday - 23 February 2026  Mint | 'Stock market volatile but fundamentals strong': Analyst bets on large caps, IT stocks for next rally - Infosys, TCS, RIL and more - MSN. 'Stock market volatile but fundamentals strong': Analyst bets on large caps, IT stocks for next rally - Infosys, TCS, RIL and more  MSN"
2026-02-22,GOLDBEES.NS,,,,,,10,0.0419,"Gold price prediction today: Where are gold prices headed this week & what are the key levels? - The Times of India. Gold price prediction today: Where are gold prices headed this week & what are the key levels?  The Times of India | Gold Price Today [23 Feb 2026]: MCX Gold Holds Near ₹1.59 Lakh/10g After Rally | City-Wise Rates - The Sunday Guardian. Gold Price Today [23 Feb 2026]: MCX Gold Holds Near ₹1.59 Lakh/10g After Rally | City-Wise Rates  The Sunday Guardian | ‘Gold price spikes because...’: FM Sitharaman explains yellow metal's rally - Moneycontrol.com. ‘Gold price spikes because...’: FM Sitharaman explains yellow metal's rally  Moneycontrol.com | Gold, Silver Prices On February 23: Silver Rises By Rs 23,820, Gold Crosses Rs 1,59,000 On MCX - NDTV. Gold, Silver Prices On February 23: Silver Rises By Rs 23,820, Gold Crosses Rs 1,59,000 On MCX  NDTV | Gold price in India: Rates on February 23 - FXStreet. Gold price in India: Rates on February 23  FXStreet | Gold price, silver rate predictions: What to expect in February last week? Analysts make bold opinions - The Economic Times. Gold price, silver rate predictions: What to expect in February last week? Analysts make bold opinions  The Economic Times | 22 carat and 24 carat gold price increased today, check updated rates in your city - KalingaTV. 22 carat and 24 carat gold price increased today, check updated rates in your city  KalingaTV | Gold rate jumps 2%, silver surges 6% on MCX amid escalating US-Iran tensions, dollar's sharp fall - Mint. Gold rate jumps 2%, silver surges 6% on MCX amid escalating US-Iran tensions, dollar's sharp fall  Mint | Gold Rates Today, 23 February: MCX Gold Hits Record High Amid Global Uncertainty; Check Latest City-Wise Prices And Global Trends - NewsX. Gold Rates Today, 23 February: MCX Gold Hits Record High Amid Global Uncertainty; Check Latest City-Wise Prices And Global Trends  NewsX | In India, compiled data shows gold prices increased, reflecting an upward move during Monday’s trading session - VT Markets. In India, compiled data shows gold prices increased, reflecting an upward move during Monday’s trading session  VT Markets"
2026-02-22,RELIANCE.NS,,,,,,10,0.3132,"Reliance Industries - 9 Sensex stocks with up to 40% upside potential — Are these in your portfolio? - The Economic Times. Reliance Industries - 9 Sensex stocks with up to 40% upside potential — Are these in your portfolio?  The Economic Times | Zudio, Trends: Budget fast fashion is taking small-town India by storm - BBC. Zudio, Trends: Budget fast fashion is taking small-town India by storm  BBC | News18 Network Chennai Town Hall set for Feb 23 ahead of Tamil Nadu polls - bestmediainfo.com. News18 Network Chennai Town Hall set for Feb 23 ahead of Tamil Nadu polls  bestmediainfo.com | Rs 630000000000 in just five days! Mukesh Ambani’s Reliance, SBI, HDFC shower profits on investors due to…; THIS company earns Rs 285230000000, name is… - news24online.com. Rs 630000000000 in just five days! Mukesh Ambani’s Reliance, SBI, HDFC shower profits on investors due to…; THIS company earns Rs 285230000000, name is…  news24online.com | Weekly market recap: Mcap of six of top 10 valued firms climbs Rs 63,478 crore; L&T, SBI lead gains - The Times of India. Weekly market recap: Mcap of six of top 10 valued firms climbs Rs 63,478 crore; L&T, SBI lead gains  The Times of India | Sensex Up 319 Points at 83,130; Nifty Above 25,650 as Reliance, Private Banks Lead Gains - Dalal Street Investment Journal. Sensex Up 319 Points at 83,130; Nifty Above 25,650 as Reliance, Private Banks Lead Gains  Dalal Street Investment Journal | L&T, SBI lead gains as 6 of top 10 firms add ₹63,478 crore in market value - The Statesman. L&T, SBI lead gains as 6 of top 10 firms add ₹63,478 crore in market value  The Statesman | Lotus Chocolate drops as Telangana facility to halt operations for 15 days - Business Standard. Lotus Chocolate drops as Telangana facility to halt operations for 15 days  Business Standard | Top firms see valuation dip: HDFC Bank lead Rs 1.65 lakh crore Mcap loss; tech stocks rise - MSN. Top firms see valuation dip: HDFC Bank lead Rs 1.65 lakh crore Mcap loss; tech stocks rise  MSN | 5 Companies Setting Up Hyperscale Data Centres of More Than 1 GW in India - Trade Brains. 5 Companies Setting Up Hyperscale Data Centres of More Than 1 GW in India  Trade Brains"
